# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
TYC 2627 A b,Unconfirmed,5.0,inf,nan,,,,,,,1.59,,,,,,,,,,,,,2010,2017-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,TYC 2627 A,275.0208333,31.9622222,10.9,,,,,218.0,,,0.0,0.2,0.2,1.25,,,1.25,,,G0,0.025,0.01,0.01,5900.0,100.0,100.0,,,
TYC 3318-01333-1 b,Confirmed,3.42,0.35,0.35,3.42,0.35,0.35,,,,562.0,4.0,4.0,1.414,0.063,0.063,0.098,0.032,0.082,,,,,2018,2018-01-16,129.0,36.0,40.0,2454340.0,60.0,60.0,,,,,,,,,,,,,,,,,,,75.42,0.7,0.9,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,TYC 3318-01333-1,45.58333334,49.744444468,9.9,,,,,556.0,100.0,100.0,-0.06,0.06,0.06,1.19,0.14,0.14,5.9,1.0,1.0,,,,,4776.0,10.0,10.0,,,
TYC 4282-605-1 b,Confirmed,10.78,0.12,0.12,10.78,0.12,0.12,,,,101.54,0.05,0.05,0.422,0.009,0.009,0.28,0.01,0.01,,,,,2017,2017-06-29,288.94,2.38,2.38,,,,,,,,,,,,,,,,,,,,,,495.2,5.1,5.1,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,, TYC 4282-605-1,343.87190876,62.2391247315,10.58,,,,,700.0,143.0,143.0,-0.07,0.16,0.16,0.97,0.03,0.03,16.21,4.01,4.01,K,10.1,0.05,0.05,4300.0,50.0,50.0,,,
TYC+1422-614-1 b,Confirmed,2.51,0.12,0.12,2.51,0.12,0.12,,,,198.44,0.64,0.64,0.6879,0.0015,0.0015,0.07,0.04,0.04,,,,,2014,2014-10-29,62.0,46.0,46.0,2452842.5,40.0,40.0,,,,,,,,,,,,,,,,,,,82.2,3.7,3.7,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,TYC+1422-614-1,154.279166669,19.558333351,10.21,,,,,759.0,181.0,181.0,-0.2,0.08,0.08,1.15,0.18,0.18,6.85,1.38,1.38,,,,,4806.0,45.0,45.0,,,
TYC+1422-614-1 c,Confirmed,10.1,0.14,0.14,10.1,0.14,0.14,,,,569.2,2.1,2.1,1.3916,0.0033,0.0033,0.049,0.014,0.014,,,,,2014,2014-10-29,124.0,20.0,20.0,2452616.5,30.0,30.0,,,,,,,,,,,,,,,,,,,232.8,3.3,3.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,TYC+1422-614-1,154.279166669,19.558333351,10.21,,,,,759.0,181.0,181.0,-0.2,0.08,0.08,1.15,0.18,0.18,6.85,1.38,1.38,,,,,4806.0,45.0,45.0,,,
TYC-3667-1280-1 b,Confirmed,5.4,0.4,0.4,5.4,0.4,0.4,,,,26.468,0.005,0.005,0.21,0.01,0.01,0.036,0.014,0.043,,,,,2016,2016-03-23,240.0,50.0,50.0,2456319.6,3.3,3.7,,,,,,,,,,,,,,,,,,,242.4,1.2,1.2,1350.0,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,TYC-3667-1280-1,78.37500001,58.426111127,9.9,,,,,431.0,37.0,37.0,-0.08,0.05,0.05,1.87,0.17,0.17,6.26,0.86,0.86,,,,,5130.0,24.0,24.0,,,
TrES-1 ,Confirmed,0.761,0.05,0.05,,,,1.099,0.035,0.035,3.0300722,2e-07,2e-07,0.0393,0.0007,0.0007,0.0,,,88.4,0.3,0.3,0.00025,2004,2013-05-31,,,,,,,,,,2453186.80634,5.1e-05,5.1e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,TrES-1,286.0375,36.6325,11.79,,,,,157.0,6.0,6.0,0.001,0.004,0.004,0.88,0.07,0.07,0.85,0.05,0.05,K0V,2.5,1.4,1.4,,,,,,
TrES-2 ,Confirmed,1.253,0.052,0.052,,,,1.189,0.025,0.025,2.4706133738,1.87e-08,1.87e-08,0.03555,0.00075,0.00075,0.0,,,83.908,0.009,0.009,0.000162,2006,2014-09-01,,,,,,,,,,2453957.6354991,1.29e-05,1.29e-05,,,,,,,,,,,,,,,,1455.0,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,,TrES-2,286.8083333,49.3163889,11.41,,,,,220.0,10.0,10.0,-0.15,0.1,0.1,0.98,0.062,0.062,1.0,0.036,0.036,G0V,5.1,2.7,2.7,5850.0,50.0,50.0,,,
TrES-3 ,Confirmed,1.91,0.07,0.06,,,,1.305,0.09,0.09,1.30618608,3.8e-07,3.8e-07,0.0226,0.0013,0.0013,0.0,,,82.15,0.21,0.21,,2007,2014-05-22,,,,,,,,,,2454538.58069,0.00021,0.00021,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,TrES-3,268.0291667,37.5461111,12.4,,,,,,,,-0.19,0.08,0.08,0.924,0.04,0.04,0.813,0.027,0.027,G,,,,5720.0,150.0,150.0,,,
TrES-4 ,Confirmed,0.917,0.07,0.07,,,,1.706,0.056,0.056,3.5539268,3.2e-06,3.2e-06,0.05084,0.0005,0.0005,0.0,,,82.81,0.37,0.37,0.000106,2007,2012-12-28,,,,,,,,,,2454230.90524,0.00062,0.00062,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,,TrES-4,268.3041667,37.2116667,11.592,,,,,479.0,26.0,26.0,0.14,0.09,0.09,1.388,0.042,0.042,1.798,0.052,0.052,F,2.9,0.3,0.3,6200.0,75.0,75.0,,,
